"Rut","Cliente","NumFacturas","NumVencidas","MontoVencido","DiasMoraProm","DiasMoraMax","kpi_monto","kpi_mora","kpi_venc","score_riesgo","Riesgo"
105,"DA",19,1,79440,47,47,0.0235229739861492,0.431192660550459,0.333333333333333,0.207785951824879,"Bajo"
106,"DB",19,1,127860,47,47,0.0378606174958337,0.431192660550459,0.333333333333333,0.214954773579721,"Medio"
107,"DC",19,0,0,0,0,0,0,0,0,"Bajo"
108,"DD",18,1,108284,47,47,0.0320639692235168,0.431192660550459,0.333333333333333,0.212056449443563,"Medio"
109,"DE",19,1,141384,47,47,0.0418652083844123,0.431192660550459,0.333333333333333,0.21695706902401,"Medio"
110,"DF",18,1,231699,47,47,0.068608378016324,0.431192660550459,0.333333333333333,0.230328653839966,"Medio"
111,"DG",18,1,89843,47,47,0.0266034057381369,0.431192660550459,0.333333333333333,0.209326167700873,"Medio"
112,"DH",17,1,349297,47,47,0.103430315262336,0.431192660550459,0.333333333333333,0.247739622462972,"Alto"
113,"DI",23,0,0,0,0,0,0,0,0,"Bajo"
114,"DJ",17,1,67003,47,47,0.0198402546071746,0.431192660550459,0.333333333333333,0.205944592135392,"Bajo"
115,"DK",17,1,156042,47,47,0.0462055879499835,0.431192660550459,0.333333333333333,0.219127258806796,"Medio"
116,"DL",21,1,138073,47,47,0.0408847883583783,0.431192660550459,0.333333333333333,0.216466859010993,"Medio"
117,"DM",17,1,92680,47,47,0.0274434696505074,0.431192660550459,0.333333333333333,0.209746199657058,"Medio"
118,"DN",17,1,108284,47,47,0.0320639692235168,0.431192660550459,0.333333333333333,0.212056449443563,"Medio"
119,"DO",17,1,61471,47,47,0.018202174394544,0.431192660550459,0.333333333333333,0.205125552029076,"Bajo"
120,"DP",20,1,306977,47,47,0.0908989424137224,0.431192660550459,0.333333333333333,0.241473936038666,"Alto"
121,"DQ",17,1,322959,47,47,0.0956313715457294,0.431192660550459,0.333333333333333,0.243840150604669,"Alto"
122,"DR",16,1,465950,47,47,0.137972428610853,0.431192660550459,0.333333333333333,0.265010679137231,"Alto"
123,"DS",16,1,134764,47,47,0.0399049605522332,0.431192660550459,0.333333333333333,0.215976945107921,"Medio"
124,"DT",16,0,0,0,0,0,0,0,0,"Bajo"
125,"DU",16,1,108284,47,47,0.0320639692235168,0.431192660550459,0.333333333333333,0.212056449443563,"Medio"
126,"DV",16,0,0,0,0,0,0,0,0,"Bajo"
127,"DW",16,1,397292,47,47,0.117642112045634,0.431192660550459,0.333333333333333,0.254845520854621,"Alto"
128,"DX",23,1,281821,47,47,0.0834500006514419,0.431192660550459,0.333333333333333,0.237749465157525,"Alto"
129,"DY",16,1,67618,47,47,0.020022362223004,0.431192660550459,0.333333333333333,0.206035645943306,"Bajo"
130,"DZ",15,2,134136,63,79,0.0397190035071262,0.577981651376147,0.666666666666667,0.32658733049974,"Alto"
131,"EA",15,1,24115,47,47,0.00714069131012068,0.431192660550459,0.333333333333333,0.199594810486865,"Bajo"
132,"EB",16,1,49177,47,47,0.0145617987376241,0.431192660550459,0.333333333333333,0.203305364200616,"Bajo"
133,"EC",15,2,183256,63,79,0.0542639239779173,0.577981651376147,0.666666666666667,0.333859790735136,"Alto"
134,"ED",15,1,87006,47,47,0.0257633418257665,0.431192660550459,0.333333333333333,0.208906135744688,"Medio"
135,"EE",14,1,108284,47,47,0.0320639692235168,0.431192660550459,0.333333333333333,0.212056449443563,"Medio"
136,"EF",15,2,69958,50,53,0.0207152594929887,0.458715596330275,0.666666666666667,0.28130564197891,"Alto"
137,"EG",14,1,75184,47,47,0.0222627300626213,0.431192660550459,0.333333333333333,0.207155829863115,"Bajo"
138,"EH",15,1,47286,47,47,0.014001854832692,0.431192660550459,0.333333333333333,0.20302539224815,"Bajo"
139,"EI",14,0,0,0,0,0,0,0,0,"Bajo"
140,"EJ",14,1,94098,47,47,0.0278633535517203,0.431192660550459,0.333333333333333,0.209956141607664,"Medio"
141,"EK",14,1,113486,47,47,0.0336043331544829,0.431192660550459,0.333333333333333,0.212826631409046,"Medio"
142,"EL",13,1,750419,47,47,0.222206528395167,0.431192660550459,0.333333333333333,0.307127729029388,"Alto"
143,"EM",13,1,221768,47,47,0.0656677101581109,0.431192660550459,0.333333333333333,0.22885831991086,"Medio"
144,"EN",13,1,653957,47,47,0.193643170934795,0.431192660550459,0.333333333333333,0.292846050299202,"Alto"
145,"EO",13,2,202146,63,79,0.0598574408283498,0.577981651376147,0.666666666666667,0.336656549160352,"Alto"
146,"EP",13,0,0,0,0,0,0,0,0,"Bajo"
147,"EQ",12,1,185359,47,47,0.0548866431910703,0.431192660550459,0.333333333333333,0.223467786427339,"Medio"
148,"ER",13,2,446156,63,79,0.132111228370649,0.577981651376147,0.666666666666667,0.372783442931502,"Alto"
149,"ES",12,1,104027,47,47,0.0308034291900445,0.431192660550459,0.333333333333333,0.211426179426827,"Medio"
150,"ET",12,0,0,0,0,0,0,0,0,"Bajo"
151,"EU",12,1,131690,47,47,0.038994718583031,0.431192660550459,0.333333333333333,0.21552182412332,"Medio"
152,"EV",12,1,49649,47,47,0.0147015626313988,0.431192660550459,0.333333333333333,0.203375246147504,"Bajo"
153,"EW",12,2,1388582,63,79,0.41117293886751,0.577981651376147,0.666666666666667,0.512314298179932,"Alto"
154,"EX",12,1,272364,47,47,0.0806496889068924,0.431192660550459,0.333333333333333,0.23634930928525,"Alto"
155,"EY",12,1,258179,47,47,0.0764493693450403,0.431192660550459,0.333333333333333,0.234249149504324,"Alto"
156,"EZ",12,1,121050,47,47,0.0358441087742114,0.431192660550459,0.333333333333333,0.21394651921891,"Medio"
157,"FA",12,1,119159,47,47,0.0352841648692793,0.431192660550459,0.333333333333333,0.213666547266444,"Medio"
158,"FB",11,1,125495,47,47,0.037160317477238,0.431192660550459,0.333333333333333,0.214604623570423,"Medio"
159,"FC",11,1,150178,47,47,0.0444691992357995,0.431192660550459,0.333333333333333,0.218259064449704,"Medio"
160,"FD",10,0,0,0,0,0,0,0,0,"Bajo"
161,"FE",10,0,0,0,0,0,0,0,0,"Bajo"
162,"FF",11,1,3377124,47,47,1,0.431192660550459,0.333333333333333,0.696024464831804,"Alto"
163,"FG",10,1,111121,47,47,0.0329040331358872,0.431192660550459,0.333333333333333,0.212476481399748,"Medio"
164,"FH",10,0,0,0,0,0,0,0,0,"Bajo"
165,"FI",10,1,371191,47,47,0.10991334638586,0.431192660550459,0.333333333333333,0.250981138024734,"Alto"
166,"FJ",10,1,241818,47,47,0.0716047145440914,0.431192660550459,0.333333333333333,0.23182682210385,"Alto"
167,"FK",10,2,799387,63,79,0.236706440154404,0.577981651376147,0.666666666666667,0.425081048823379,"Alto"
168,"FL",10,3,602672,78.3333333333333,109,0.178457172434296,0.718654434250764,1,0.504824916492377,"Alto"
169,"FM",10,2,718137,63,79,0.212647507168822,0.577981651376147,0.666666666666667,0.413051582330588,"Alto"
170,"FN",10,2,555920,63,79,0.164613440311934,0.577981651376147,0.666666666666667,0.389034548902144,"Alto"
171,"FO",12,1,174483,47,47,0.0516661514353633,0.431192660550459,0.333333333333333,0.221857540549486,"Medio"
172,"FP",10,1,506900,47,47,0.150098130835587,0.431192660550459,0.333333333333333,0.271073530249598,"Alto"
173,"FQ",10,1,98354,47,47,0.0291235974752482,0.431192660550459,0.333333333333333,0.210586263569428,"Medio"
174,"FR",10,1,130082,47,47,0.0385185737923748,0.431192660550459,0.333333333333333,0.215283751727992,"Medio"
175,"FS",10,2,304354,63,79,0.0901222460294618,0.577981651376147,0.666666666666667,0.351788951760908,"Alto"
176,"FT",10,1,109418,47,47,0.0323997579005094,0.431192660550459,0.333333333333333,0.212224343782059,"Medio"
177,"FU",21,1,337145,47,47,0.0998319872175259,0.431192660550459,0.333333333333333,0.245940458440567,"Alto"
178,"FV",9,1,195762,47,47,0.0579670749430581,0.431192660550459,0.333333333333333,0.225008002303333,"Medio"
179,"FW",9,1,688002,47,47,0.203724233993185,0.431192660550459,0.333333333333333,0.297886581828397,"Alto"
180,"FX",9,1,94570,47,47,0.028003117445495,0.431192660550459,0.333333333333333,0.210026023554552,"Medio"
181,"FY",9,1,185359,47,47,0.0548866431910703,0.431192660550459,0.333333333333333,0.223467786427339,"Medio"
182,"FZ",8,1,1728659,37,37,0.511873120442128,0.339449541284404,0.333333333333333,0.424438089273052,"Alto"
184,"GB",8,0,0,0,0,0,0,0,0,"Bajo"
185,"GC",8,2,1532682,63,79,0.453842381861015,0.577981651376147,0.666666666666667,0.533649019676685,"Alto"
186,"GD",8,2,530872,63,79,0.157196478423653,0.577981651376147,0.666666666666667,0.385326067958004,"Alto"
187,"GE",8,1,260542,47,47,0.0771490771437472,0.431192660550459,0.333333333333333,0.234599003403678,"Alto"
188,"GF",8,2,207814,63,79,0.061535791993424,0.577981651376147,0.666666666666667,0.337495724742889,"Alto"
189,"GG",8,1,172119,47,47,0.0509661475267121,0.431192660550459,0.333333333333333,0.22150753859516,"Medio"
190,"GH",8,1,219451,47,47,0.0649816234168482,0.431192660550459,0.333333333333333,0.228515276540228,"Medio"
191,"GI",8,0,0,0,0,0,0,0,0,"Bajo"
192,"GJ",7,2,754746,63,79,0.22348779612475,0.577981651376147,0.666666666666667,0.418471726808552,"Alto"
193,"GK",7,1,279457,47,47,0.0827499967427906,0.431192660550459,0.333333333333333,0.2373994632032,"Alto"
194,"GL",6,1,100718,47,47,0.0298236013838994,0.431192660550459,0.333333333333333,0.210936265523754,"Medio"
195,"GM",6,1,497443,47,47,0.147297819091037,0.431192660550459,0.333333333333333,0.269673374377323,"Alto"
196,"GN",6,1,1803228,47,47,0.53395374288892,0.431192660550459,0.333333333333333,0.463001336276264,"Alto"
197,"GO",6,1,133818,47,47,0.0396248405447949,0.431192660550459,0.333333333333333,0.215836885104202,"Medio"
198,"GP",6,1,466234,47,47,0.138056523835074,0.431192660550459,0.333333333333333,0.265052726749341,"Alto"
199,"GQ",6,0,0,0,0,0,0,0,0,"Bajo"
202,"GT",8,2,213017,63,79,0.0630764520343345,0.577981651376147,0.666666666666667,0.338266054763345,"Alto"
203,"GU",6,1,1215708,47,47,0.359983228332747,0.431192660550459,0.333333333333333,0.376016078998178,"Alto"
204,"GV",6,1,110223,47,47,0.032638126405782,0.431192660550459,0.333333333333333,0.212343528034695,"Medio"
205,"GW",5,0,0,0,0,0,0,0,0,"Bajo"
206,"GX",5,0,0,0,0,0,0,0,0,"Bajo"
207,"GY",5,0,0,0,0,0,0,0,0,"Bajo"
208,"GZ",4,1,93784,109,109,0.0277703750291668,1,0.333333333333333,0.38055185418125,"Alto"
209,"HA",5,2,410908,63,79,0.121673945049101,0.577981651376147,0.666666666666667,0.367564801270728,"Alto"
210,"HB",4,0,0,0,0,0,0,0,0,"Bajo"
211,"HC",2,0,0,0,0,0,0,0,0,"Bajo"
212,"HD",4,1,104027,47,47,0.0308034291900445,0.431192660550459,0.333333333333333,0.211426179426827,"Medio"
214,"HF",4,1,792409,47,47,0.234640184962116,0.431192660550459,0.333333333333333,0.313344557312862,"Alto"
215,"HG",3,0,0,0,0,0,0,0,0,"Bajo"
216,"HH",4,0,0,0,0,0,0,0,0,"Bajo"
217,"HI",4,2,1010017,47,47,0.299076077751365,0.431192660550459,0.666666666666667,0.412229170374153,"Alto"
218,"HJ",3,0,0,0,0,0,0,0,0,"Bajo"
219,"HK",3,1,53906,47,47,0.0159621026648711,0.431192660550459,0.333333333333333,0.20400551616424,"Bajo"
220,"HL",3,3,311494,78.3333333333333,109,0.0922364710327486,0.718654434250764,1,0.461714565791604,"Alto"
221,"HM",3,3,631484,78.3333333333333,109,0.186988692153442,0.718654434250764,1,0.50909067635195,"Alto"
222,"HN",3,2,126566,63,79,0.0374774512277311,0.577981651376147,0.666666666666667,0.325466554360043,"Alto"
223,"HO",3,1,94098,47,47,0.0278633535517203,0.431192660550459,0.333333333333333,0.209956141607664,"Medio"
224,"HP",2,1,235954,47,47,0.0698683258299073,0.431192660550459,0.333333333333333,0.230958627746758,"Medio"
225,"HQ",2,2,150338,63,79,0.0445165768269095,0.577981651376147,0.666666666666667,0.328986117159632,"Alto"
226,"HR",2,2,98956,63,79,0.0293018556617998,0.577981651376147,0.666666666666667,0.321378756577077,"Alto"
227,"HS",3,1,82277,47,47,0.0243630378985196,0.431192660550459,0.333333333333333,0.208205983781064,"Bajo"
228,"HT",2,1,255814,47,47,0.0757490693264446,0.431192660550459,0.333333333333333,0.233898999495027,"Alto"
229,"HU",2,1,954574,47,47,0.282658854101893,0.431192660550459,0.333333333333333,0.337353891882751,"Alto"
230,"HV",1,1,313030,47,47,0.0926912959074052,0.431192660550459,0.333333333333333,0.242370112785507,"Alto"
231,"HW",2,1,80101,47,47,0.0237187026594226,0.431192660550459,0.333333333333333,0.207883816161516,"Bajo"
232,"HX",1,1,100103,47,47,0.0296414937680701,0.431192660550459,0.333333333333333,0.210845211715839,"Medio"
233,"HY",1,1,233590,47,47,0.0691683219212561,0.431192660550459,0.333333333333333,0.230608625792432,"Medio"
234,"HZ",1,1,179638,47,47,0.0531925981989409,0.431192660550459,0.333333333333333,0.222620763931275,"Medio"
235,"IA",1,1,457581,47,47,0.135494284485852,0.431192660550459,0.333333333333333,0.263771607074731,"Alto"
236,"IB",1,1,57594,47,47,0.0170541561399581,0.431192660550459,0.333333333333333,0.204551542901783,"Bajo"
237,"IC",1,1,267777,47,47,0.0792914325917556,0.431192660550459,0.333333333333333,0.235670181127682,"Alto"
238,"ID",1,1,107338,47,47,0.0317838492160785,0.431192660550459,0.333333333333333,0.211916389439844,"Medio"
